u,v,y
21,396,3326.0042
22,405,4380.012
33,580,4015.006
23,428,3818.0117
0,61,3013.0066
37,654,1759.0027
20,374,6015.021
12,248,4010.0166
25,464,4622.011
3,106,2560.0042
47,804,4263.0063
28,510,5724.013
12,247,4074.0117
1,69,1124.0016
10,212,5326.018
1,66,6217.015
44,767,2817.0095
19,358,7583.0254
48,823,1004.00055
37,643,3075.007
30,545,2608.0044
20,375,4973.017
4,123,1512.0009
4,125,4769.013
41,710,2513.0085
45,779,4309.012
17,333,5314.0205
28,506,4172.011
34,595,2862.0051
29,516,6431.021
36,629,4709.015
35,618,2268.0046
1,77,4770.013
15,299,3759.0144
18,342,6620.0215
29,527,1512.0015
16,315,1810.0033
40,699,5119.013
15,297,4832.0107
35,623,2510.0037
14,278,2886.0046
46,796,3613.0105
43,748,6550.018
18,344,2809.0095
1,72,4111.011
13,260,6911.025
5,139,3021.0042
9,198,5419.014
30,535,1504.0009
12,246,3008.0105
8,184,7617.0273
32,574,3810.0117
34,604,2411.002
4,117,2807.0095
30,544,3127.006
31,547,3508.0054
45,775,5016.017
32,569,916.001
47,813,4419.008
33,587,4109.0117
22,408,5064.0156
46,797,2314.002
30,539,2911.0085
14,283,6780.013
6,159,3570.009
46,792,3589.006
25,462,5629.0137
18,341,6321.0205
11,231,2466.003
41,716,4723.0127
25,455,4970.017
24,441,4312.012
10,215,4570.012
28,499,3036.005
42,723,6037.0103
13,259,3826.0095
25,451,3422.0088
29,523,2563.007
9,199,2217.0024
47,815,2873.0046
4,120,2319.002
15,305,6129.0205
2,87,1964.0066
26,478,5728.013
35,616,1729.0017
19,368,7122.025
37,655,6428.02
20,372,2823.0024
48,819,2010.0045
47,807,6421.0225
9,208,5232.015
5,145,3610.0051
21,398,3919.0107
30,537,1804.0033
10,225,5685.0146
21,391,1859.0029
39,686,2012.0028
11,236,1972.0066
45,784,2263.0063
16,313,5721.013
25,461,4767.0166
16,307,3316.005
48,832,7009.0254
19,366,1813.0033
15,301,3809.0122
46,801,3610.0066
31,556,3004.0105
4,128,1506.0026
15,290,1319.0006
23,426,3670.0046
13,264,2809.0095
34,599,6613.0244
26,468,2314.0037
43,753,3414.012
16,320,2512.0085
0,63,3102.0095
30,542,4559.0176
10,211,3274.0042
24,442,3408.0115
13,266,1914.0032
12,257,3005.0105
37,656,3312.0098
7,162,2306.0037
31,557,3811.0117
1,68,4822.0127
32,573,2920.004
9,207,6767.025
12,255,6022.017
20,385,1216.0007
28,508,4377.012
13,273,3769.01
46,790,3531.0054
36,628,3286.0037
32,571,4006.0125
22,412,5817.0225
44,763,3943.011
31,560,3669.0076
35,621,1865.0029
25,457,3931.0115
40,700,5425.017
0,54,4564.0127
5,144,4512.017
35,610,4612.013
30,531,2916.0056
31,549,4756.0166
20,373,5721.0195
5,143,5316.018
41,720,4270.0127
